station,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,name,city,lon,lat,contrast
1013A,,,,,,,,,,市监测中心(停运150702),天津,117.151,39.097,Y
1014A,,72.03991757265638,67.2031627340603,,,,,,,南口路(停运161122),天津,117.193,39.173,Y
1015A,,68.05000435348478,72.42538365009008,65.56423642534686,54.76012347457404,55.49861616881808,49.54789237846427,42.18874894919583,38.42213219743533,勤俭道,天津,117.1444,39.1661,N
1016A,,70.85240709478893,,,,,,,,南京路(停运160601),天津,117.184,39.1205,Y
1017A,,67.41723483892854,71.13894016047337,65.19832837031986,53.69760972484233,53.183824436410156,49.208774875488665,40.612583247822315,37.080448902606335,大直沽八号路,天津,117.237,39.1082,N
1018A,,71.96803567206827,71.76992222531818,66.066305843652,52.25044936014848,51.88371626070729,50.73058081119238,39.260527743195794,36.506398261405664,前进道,天津,117.202,39.0927,N
1019A,,75.56277808564516,75.74647132801682,66.08346779111555,54.86963615718653,54.108164082858025,49.38040902310368,43.383373264026694,40.62182784535508,淮河道,天津,117.1837,39.2133,N
1020A,,,,,,,,,,天山路(停运150702),天津,117.269,39.1337,Y
1021A,,67.91859718405313,67.80850038390317,63.648045592582015,53.9207586383128,51.95198649880358,47.78455291939664,41.131300263293895,36.677565173249135,跃进路,天津,117.307,39.0877,N
1022A,,,,,,,,,,梅江小区(停运150702),天津,117.221,39.06,Y
1023A,,74.90367129244997,62.91407779379459,61.291761410916216,51.91189455822476,51.25306962722572,50.318284268349096,40.182285933006305,36.9914495424046,第四大街,天津,117.707,39.0343,N
1024A,,70.74303727634043,66.15525196751547,63.26630054857769,52.15373997809118,50.521787206991284,47.682997755219134,40.64936779453638,37.79314226506389,永明路,天津,117.457,38.8394,N
1025A,,66.83714608186712,69.65352662232328,,,,,,,航天路(停运170426),天津,117.401,39.124,Y
1026A,,62.85045678816031,56.93428984630163,57.38033760579146,48.58515773759038,49.011048053049244,45.83377297157951,37.852267083654894,35.54193593828974,汉北路,天津,117.764,39.1587,N
1027A,,84.2258167755446,84.62273078113957,72.1625744999135,60.47869860331161,56.45509718240751,52.90946379371863,39.263611678904404,35.96111472419215,团泊洼(对照点),天津,117.157,38.9194,Y
1028A,,,,,,,,,,化工学校(停运150703),石家庄,114.5637,38.0549,Y
1029A,,82.62959136313842,96.63764905222024,86.10626527640407,70.03270644506244,61.31581685527648,56.92509399772455,49.88599672972874,47.15231533760331,职工医院,石家庄,114.4422,38.0444,N
1030A,,88.53047368334488,100.7953661174227,88.11200921610515,71.613738367634,63.95484601032031,60.392588938866204,47.029370729148425,46.28928140268204,高新区,石家庄,114.6063,38.0266,N
1031A,,96.7460254581446,98.99801606694533,91.2371701478265,79.14223996294196,63.78463036193658,59.40970669965518,47.56469773318434,45.71465653479463,西北水源,石家庄,114.4898,38.1328,N
1032A,,82.80478126931905,99.03097771087228,86.16457944742211,67.1155906709762,66.30341099671314,58.834958134411536,48.81000846686144,47.95996895944699,西南高教,石家庄,114.4586,38.0058,N
1033A,,91.8950173318565,105.26254831008444,81.05291161823463,71.23666663272256,60.27614167030363,55.76482099928325,47.259978465409404,47.18447086143105,世纪公园,石家庄,114.5331,38.0178,N
1034A,,87.53111234796948,102.43414789626642,90.31638622422567,75.2844850925954,64.25832418721147,58.74665677827908,49.69435034871098,47.52390584910758,人民会堂,石家庄,114.509,38.0457,N
1035A,,76.11271066112239,64.306162649753,52.64932787708434,52.31020759899821,44.27990413236927,45.02112562941671,39.31214062526944,36.86127315054137,封龙山(对照点),石家庄,114.3524,37.8911,Y
1036A,,80.85309536429509,69.54928553766993,61.75437910444803,59.19568006248657,53.2642875301371,,,,供销社(停运200110),唐山,118.1662,39.6308,Y
1037A,,84.38055518002685,75.44958998625876,65.1780151682151,58.73234193908415,53.11489000457123,48.206617481568806,42.72990960661038,38.790272169562265,雷达站,唐山,118.131,39.6363,N
1038A,,80.73209534117025,70.41594733562468,65.59887367246971,60.12271187697808,52.96936232669112,50.97300783024279,42.76096524638525,38.04096099499685,物资局,唐山,118.1725,39.6334,N
1039A,,85.78252968981641,73.27556710421243,68.74155509619091,63.35153983218253,54.02067909250503,,,,陶瓷公司(停运200109),唐山,118.2185,39.6679,Y
1040A,,87.64648729420493,80.09582923173568,71.80866899186113,61.40129754344261,57.63356402459306,51.11099577256185,49.386803708578825,38.98741969437853,十二中,唐山,118.1705,39.6506,N
1041A,,88.31615010898724,76.08469681745873,67.99697147670472,61.672829175732105,53.93452860417979,47.491706030710134,41.424272152640626,35.26319272422213,小山,唐山,118.1869,39.622,N
1042A,,48.57180460870657,42.354153738913354,40.05888132412335,31.060221885956633,39.895594259254544,32.39527483705522,33.23902046623109,26.09163363815454,北戴河环保局,秦皇岛,119.5134,39.8207,N
1043A,,48.74152501770263,48.067535946083424,41.701050406183406,36.85786287883073,40.59642624677636,33.723349290202286,38.16016205691743,30.207984199759,第一关,秦皇岛,119.7493,40.0116,N
1044A,,47.835255919682396,48.978482026979584,46.97723573276869,46.10361206594226,44.16420496403334,37.67113526305298,36.61175690655024,29.46566020904255,监测站,秦皇岛,119.5897,39.9499,N
1045A,,48.48425569833584,46.13067817741818,40.1459910913399,,,,,,市政府,秦皇岛,119.525974,39.894677,N
1046A,,43.067935020600295,46.82066447664058,48.60933545637035,43.53745482531257,42.43624345071223,34.000722992403475,35.148825455236334,27.639240468129373,建设大厦,秦皇岛,119.5251,39.9041,N
1047A,,85.97474008310071,79.42742916623976,80.59042722897142,70.97698465515138,67.57882664675557,57.09866328982077,,,环保局,邯郸,114.5129,36.61763,N
1048A,,92.72000564184825,81.32931911491826,89.25403604221184,66.43616414104028,63.42929718178408,54.456651101881846,48.3482701964156,52.3701332579033,东污水处理厂,邯郸,114.5302,36.6116,N
1049A,,95.29089343805138,89.77094616008632,88.13719172313188,75.98504184915068,68.671404918838,58.09363318704685,48.784335101504325,52.943605217680734,矿院,邯郸,114.4918,36.5713,N
1050A,,86.93734601516755,77.4207476623194,86.82102104797941,66.0880759021466,63.37354335240831,57.20412981533682,45.81114617752751,50.96279913381331,丛台公园,邯郸,114.484,36.6133,N
1051A,,106.72657617036893,89.98960626020072,84.62605935050787,66.3515845087181,56.55775049385207,50.233547629271314,45.36923888046238,45.54213432465851,游泳馆,保定,115.493,38.8632,N
